"","Name","xPos","yPos","Feature_Desc"
"65","Kobe Terrace",-122.324494,47.60042,"Paths (ADA Compliant)"
"66","Lakeridge Playfield",-122.246841,47.510319,"Restrooms (ADA Compliant)"
"67","Laurelhurst Playfield",-122.2780192,47.65988952,"Play Area (ADA Compliant)"
"68","Licton Springs Park",-122.338735,47.698542,"Play Area (ADA Compliant)"
"69","Lincoln Park",-122.396012,47.531176,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"70","Little Brook Park",-122.294567,47.731387,"Play Area (ADA Compliant)"
"71","Loyal Heights Playfield",-122.3832402,47.68410594,"Play Area (ADA Compliant)"
"72","Madison Park",-122.276602,47.635779,"Play Area (ADA Compliant)"
"73","Madrona Playground",-122.2898852,47.61102165,"Play Area (ADA Compliant)"
"74","Magnolia Park",-122.398993,47.632366,"Play Area (ADA Compliant)"
"75","Magnolia Playfield",-122.3994722,47.64374582,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"76","Maple Leaf Resevoir Park",-122.3156129,47.6890145,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"77","Maple Wood Playfield",-122.3188451,47.56004088,"Play Area (ADA Compliant), Restrooms (ADA Compliant), Paths (ADA Compliant)"
"78","Matthews Beach Park",-122.271785,47.694564,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"79","Mayfair Park",-122.353356,47.643241,"Play Area (ADA Compliant)"
"80","Meadowbrook Playfield",-122.2934929,47.70577111,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"81","Miller Playfield",-122.3062614,47.62143332,"Play Area (ADA Compliant)"
"82","Montlake Playfield",-122.310081,47.64240669,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"83","Mt. Baker Park",-122.288481,47.580957,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"84","Myrtle Edwards Park",-122.36087,47.618767,"Paths (ADA Compliant)"
"85","Northacres Park",-122.326124,47.721775,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"86","Northgate Park",-122.322424,47.705194,"Play Area (ADA Compliant)"
"87","Othello Playground",-122.2781049,47.53621448,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"88","Peppi's Playground",-122.2906016,47.60272347,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"89","Pinehurst Playground",-122.3146282,47.71643622,"Play Area (ADA Compliant)"
"90","Plum Tree Park",-122.299142,47.617053,"Play Area (ADA Compliant)"
"91","Powell Barnett Park",-122.295998,47.605197,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"92","Pratt Park",-122.307257,47.601407,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"93","Pritchard Island Beach",-122.26283,47.528948,"Restrooms (ADA Compliant)"
"94","Puget Ridge Playground",-122.359947,47.54736833,"Play Area (ADA Compliant)"
"95","Rainier Beach Playfield",-122.2731358,47.52504095,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"96","Rainier Playfield",-122.2862001,47.56181733,"Play Area (ADA Compliant)"
"97","Ravenna Park",-122.305705,47.671404,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"98","Ravenna-Eckstein Park",-122.304964,47.676873,"Play Area (ADA Compliant)"
"99","Roanoke Park",-122.320185,47.643723,"Play Area (ADA Compliant)"
"100","Rogers Playground",-122.3252569,47.64260095,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"101","Ross Playground",-122.3613468,47.65971791,"Play Area (ADA Compliant)"
"102","Roxhill Park",-122.368881,47.519496,"Play Area (ADA Compliant)"
"103","Salmon Bay Park",-122.381343,47.679297,"Play Area (ADA Compliant)"
"104","Sam Smith Park",-122.297814,47.589982,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"105","Sandel Playground",-122.3587007,47.6951337,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"106","Seward Park",-122.250639,47.54923,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"107","Soundview Playfield",-122.3788784,47.69541575,"Play Area (ADA Compliant)"
"108","Soundview Terrace",-122.37141,47.640849,"Play Area (ADA Compliant)"
"109","Spring Street Mini Park",-122.3124,47.611801,"Play Area (ADA Compliant)"
"110","Spruce Street Mini Park",-122.304648,47.603091,"Play Area (ADA Compliant)"
"111","Stan Sayres Memorial Park",-122.277162,47.571222,"Paths (ADA Compliant)"
"112","Sturgus Park",-122.314376,47.59409,"Paths (ADA Compliant)"
"113","T.T. Minor Playground",-122.3105431,47.61311072,"Play Area (ADA Compliant)"
"114","University Playground",-122.3193123,47.66444741,"Play Area (ADA Compliant)"
"115","Van Asselt Playground",-122.2940676,47.5394461,"Play Area (ADA Compliant)"
"116","View Ridge Playfield",-122.279969,47.679747,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"117","Volunteer Park",-122.315568,47.630378,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"118","Wallingford Playfield",-122.3374437,47.65854443,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"119","Walt Hundley Playfield",-122.3734149,47.54016974,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"120","Ward Springs Park",-122.349245,47.627747,"Play Area (ADA Compliant)"
"121","Warren G. Magnuson Park",-122.255084,47.680304,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"122","Webster Park",-122.397851,47.677832,"Play Area (ADA Compliant)"
"123","West Queen Anne Playfield",-122.3595039,47.63551408,"Play Area (ADA Compliant)"
"124","West Seattle Stadium",-122.3743482,47.56282555,"Restrooms (ADA Compliant)"
"125","Westcrest Park",-122.341719,47.525783,"Play Area (ADA Compliant)"
"126","Woodland Park",-122.344218,47.668906,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"127","Yesler Playfield",-122.3200826,47.60126168,"Play Area (ADA Compliant)"
"128","York Park",-122.295537,47.570461,"Paths (ADA Compliant)"
