"","Name","Location 1","Feature_Desc"
"42","Northacres Park","12718 1st Ave NE
(-122.326124, 47.721775)","Hiking Trails, Woods"
"43","Northeast Queen Anne Greenbelt","Dexter Way N & Lynn St & Wheeler
(-122.345011, 47.635866)","Hiking Trails, Woods"
"44","Pigeon Point Park","4418 21st Ave SW
(-122.356966, 47.563271)","Hiking Trails, Woods"
"45","Puget Boulevard Commons",NA,"Woods"
"46","Puget Park","4767 Puget Way SW
(-122.356922, 47.558473)","Hiking Trails, Woods"
"47","Ravenna Park","5520 Ravenna Ave NE
(-122.305705, 47.671404)","Hiking Trails, Woods"
"48","Riverview Playfield","7226 12th Ave SW
(-122.348688, 47.54101)","Woods"
"49","SW Queen Anne Greenbelt","12th Ave W & W Howe St
(-122.373209, 47.633353)","Woods"
"50","Schmitz Preserve Park","5551 SW Admiral Way
(-122.400425, 47.574375)","Hiking Trails, Woods"
"51","Seola Park","11399 Seola Beach Dr SW
(-122.374332, 47.50039)","Woods"
"52","Seward Park","5900 Lake Washington Blvd S
(-122.250639, 47.54923)","Hiking Trails, Woods"
"53","St. Mark's Greenbelt","1500 Lakeview Blvd E
(-122.322174, 47.63115)","Woods"
"54","Thornton Creek Park #1","13002 10th Ave NE
(-122.307629, 47.707034)","Woods"
"55","Victory Creek Park","1059 NE Northgate Way
(-122.315554, 47.709155)","Woods"
"56","Viretta Park","151 Lake Washington Blvd E
(-122.282003, 47.61875)","Woods"
"57","Warren G. Magnuson Park","7400 Sand Point Way NE
(-122.255084, 47.680304)","Hiking Trails"
"58","Washington Park Arboretum","2300 Arboretum Dr E
(-122.294835, 47.636477)","Hiking Trails, Woods"
"59","Westcrest Park","9000 8th Ave SW
(-122.341719, 47.525783)","Hiking Trails, Woods"
"60","Woodland Park","1000 N 50th St
(-122.344218, 47.668906)","Woods"
